NAME,ADM0NAME,POP_MAX,lon,lat
Mosul,Iraq,1316000,43.1430586,36.3469483
Adana,Turkey,1293000,35.3180582,36.9969345
Sheffield,United Kingdom,1292900,-1.4999966,53.3666767
Nizhny Novgorod,Russia,1278000,43.9981485,56.3349531
Duisburg,Germany,1276757,6.7500166,51.4299732
Munich,Germany,1275000,11.5730476,48.1318879
Stockholm,Sweden,1264000,18.066300168534497,59.324127204007475
Geneva,Switzerland,1240000,6.140028,46.2100075
Düsseldorf,Germany,1220000,6.779989,51.2203736
Seville,Spain,1212045,-5.9800074,37.4050153
Sofia,Bulgaria,1185000,23.3147082,42.6852953
Prague,Czechia,1162000,14.422939486203868,50.0869665373215
Glasgow,United Kingdom,1160000,-4.239100528802634,55.86226975799262
Helsinki,Finland,1115000,24.932456915043964,60.16380384948568
Zürich,Switzerland,1108000,8.5480643,47.3819337
Yerevan,Armenia,1102000,44.5116055,40.1830966
Tbilisi,Georgia,1100000,44.7888496,41.7269558
Belgrade,Serbia,1099000,20.4660448,44.8205913
København,Denmark,1085000,12.5615399,55.68051
Dublin,Ireland,1059000,-6.256979517281132,53.34673124898314
Rostov,Russia,1052000,39.7107099,47.2365937
Dnipro,Ukraine,1050000,34.9980777,48.4819182
Lille,France,1044000,3.0780622,50.651915
Gaziantep,Turkey,1044000,37.3830484,37.0769296
Amsterdam,Netherlands,1031000,4.9146943,52.3519145
Rotterdam,Netherlands,1005000,4.4780285,51.921915
Homs,Syria,1005000,36.7180761,34.7319048
Cologne,Germany,1004000,6.9480586,50.9319495
Fez,Morocco,1002000,-5.0023231,34.0565455
Odessa,Ukraine,991000,30.7080553,46.4919622
Donetsk,Ukraine,988000,37.8280342,48.0019475
Duhok,Iraq,986000,43.0000026,36.8667001
Volgograd,Russia,984000,44.4980146,48.7119558
Salerno,Italy,954265,14.7699406,40.6803967
Nice,France,927000,7.2630781,43.7169636
Irbil,Iraq,926000,44.0066751,36.1809895
Antwerpen,Belgium,920000,4.4130712,51.2223194
Konya,Turkey,919000,32.4730639,37.8769583
Tirana,Albania,895350,19.818883,41.3275407
Tarsus,Turkey,894318,34.8799792,36.9203937
Newcastle,United Kingdom,882000,-1.6116254893345796,54.98974205316957
Bilbao,Spain,875552,-2.9299868,43.2499815
Palermo,Italy,863000,13.3480814,38.1269689
Cardiff,United Kingdom,861400,-3.1675981955277295,51.48261904913091
Toulouse,France,847000,1.4479809,43.6219048
Voronezh,Russia,844000,39.18684252206281,51.66539025109858
Oslo,Norway,835000,10.7480333,59.9186361
Basel,Switzerland,830000,7.590017,47.580389
Thessaloniki,Greece,828000,22.8830549,40.6980522
Braga,Portugal,826833,-8.4213312,41.5549945
Nottingham,United Kingdom,825600,-1.1657063345433347,52.941084202004
Liverpool,United Kingdom,811000,-2.961934009816594,53.405068298036525
Valencia,Spain,808000,-0.4019579,39.4869634
Lviv,Ukraine,803880,24.0299955,49.8349801
Bordeaux,France,803000,-0.5969589,44.8519589
Oran,Algeria,798000,-0.6219186,35.7119483
Zaporizhzhya,Ukraine,788000,35.1748628,47.859243
Antalya,Turkey,783000,30.6980301,36.891928
Wuppertal,Germany,776525,7.169991,51.25001
Saarbrücken,Germany,770001,6.9700032,49.2503904
Trabzon,Turkey,764714,39.7199939,40.9799909
Łódź,Poland,758000,19.458228648552854,51.76779686697564
Kraków,Poland,756000,19.9580655,50.0619251
Tangier,Morocco,750060,-5.806197897901798,35.77592490288572
Liège,Belgium,749110,5.5800105,50.6299962
Riga,Latvia,742572,24.0999654,56.9500238
Gdańsk,Poland,740000,18.6400402,54.3599752
Nürnberg,Germany,737304,11.0799849,49.4499907
Bremen,Germany,724909,8.8000207,53.0800016
Zagreb,Croatia,722526,15.9999947,45.8000067
Hanover,Germany,722490,9.7166573,52.3669702
Sarajevo,Bosnia and Herzegovina,696731,18.3830017,43.8500224
Chișinău,Moldova,688134,28.8577111,47.0050236
Bonn,Germany,680543,7.0800223,50.7204557
Catania,Italy,674542,15.0799991,37.4999707
Bytom,Poland,662247,18.9099979,50.3500391
Kryvyy Rih,Ukraine,652380,33.3449825,47.9283264
Krasnodar,Russia,649851,39.0000378,45.0199768
Zaragoza,Spain,649404,-0.8899821,41.6500016
Genoa,Italy,647497,8.9300386,44.4099882
Diyarbakır,Turkey,644763,40.2300402,37.920436
Utrecht,Netherlands,640000,5.1200386,52.1003457
Wrocław,Poland,634893,17.0300093,51.1104319
Poznań,Poland,623997,16.8999397,52.4057534
Southend-on-Sea,United Kingdom,618386,0.7199971,51.5500175
Dresden,Germany,617515,13.7500028,51.0499705
Wiesbaden,Germany,617126,8.2500284,50.0803915
Icel,Turkey,616990,34.6199951,36.7999876
Samsun,Turkey,609339,36.3436625,41.2799984
Yaroslavl,Russia,606730,39.8700105,57.6199829
Constantine,Algeria,605179,6.5999483,36.3599886
Kirkuk,Iraq,601433,44.3922668,35.4722392
Kayseri,Turkey,592840,35.4900195,38.7349599
Dortmund,Germany,588462,7.4500256,51.5299671
Urmia,Iran,577307,44.9999816,37.5299947
Bristol,United Kingdom,553528,-2.5833155,51.4499978
Kenitra,Morocco,551786,-6.5799966,34.2704004
Málaga,Spain,550058,-4.4199992,36.7204059
Leipzig,Germany,542529,12.4099812,51.3354053
Vilnius,Lithuania,542366,25.3166353,54.6833663
Latakia,Syria,539147,35.779976,35.539987
Göteborg,Sweden,537797,11.978630208072927,57.709146768849784
Rouen,France,532559,1.0799751,49.4304053
Ṭarābulus,Lebanon,530000,35.83166068140427,34.438267091668244
Ryazan,Russia,520173,39.7199939,54.6199593
Lipetsk,Russia,515655,39.6399987,52.6200039
Eskişehir,Turkey,514869,30.5299605,39.7949986
Penza,Russia,512602,44.9999816,53.1800214
Blida,Algeria,511348,2.8299975,36.4203467
Mykolayiv,Ukraine,510840,31.984342,46.9677391
Gliwice,Poland,507670,18.6700126,50.3303762
Edinburgh,United Kingdom,504966,-3.2190906,55.9483279
Annaba,Algeria,503524,7.7599808,36.9200061
Brighton,United Kingdom,503008,-0.1699744,50.8303457
Bradford,United Kingdom,501700,-1.754464650200906,53.79167546080204
Bari,Italy,500577,16.8727579,41.1142204
Skopje,North Macedonia,494087,21.4334615,42.0000061
Tula,Russia,489486,37.6299406,54.1999591
Bologna,Italy,488172,11.3400207,44.500422
Mariupol,Ukraine,481626,37.5561983,47.0961808
Homyel,Belarus,480951,31.0000093,52.4300155
Ostrava,Czechia,478963,18.2499865,49.830355
İzmit,Turkey,466504,29.9306172,40.776024
Piraeus,Greece,466065,23.6999898,37.9500208
Pristina,Kosovo,465186,21.1659843,42.6667096
Malatya,Turkey,461574,38.3000288,38.3704344
Hamah,Syria,460602,36.7299955,35.1503467
Leicester,United Kingdom,457983,-1.1332489,52.6299774
Sfax,Tunisia,453050,10.7200069,34.7500352
Sunderland,United Kingdom,452934,-1.3798815645185654,54.903407084625925
Luhansk,Ukraine,452000,39.3343843,48.5697602
Belfast,United Kingdom,450406,-5.928177644913072,54.594245156841886
Şanlıurfa,Turkey,449549,38.7949857,37.1699909
Chlef,Algeria,449167,1.3199605,36.1704136
Gent,Belgium,444336,3.7000219,51.0299976
Portsmouth,United Kingdom,442252,-1.0800222,50.8003475
Strasbourg,France,439972,7.7500073,48.5799662
Nantes,France,438537,-1.5900169,47.2103858
Kaliningrad,Russia,434954,20.4973429,54.7000061
Bryansk,Russia,427236,34.4299808,53.2599907
Bournemouth,United Kingdom,426945,-1.9000497,50.7299901
Heidelberg,Germany,426590,8.6999751,49.4199925
Bratislava,Slovakia,423737,17.1169808,48.1500183
Ivanovo,Russia,420839,41.0099926,57.0100202
Erzurum,Turkey,420691,41.2900272,39.9203915
Middlesbrough,United Kingdom,416042,-1.2300131,54.5803752
Kursk,Russia,409431,36.1900284,51.7399801
Oujda,Morocco,409391,-1.9099716,34.690013
Metz,France,409186,6.1800256,49.1203467
Szczecin,Poland,407811,14.5300069,53.4203943
Murcia,Spain,406807,-1.1299675,37.9799931
Tver,Russia,400212,35.8899951,56.8599776
Khmelnytskyy,Ukraine,398346,27.0015454,49.4249276
Eindhoven,Netherlands,398053,5.5000154,51.4299732
Horlivka,Ukraine,396885,38.0546691,48.2996474
Tallinn,Estonia,394024,24.7280407,59.4338774
Stoke,United Kingdom,390801,-2.1800068,53.0003683
Grenoble,France,388574,5.720002,45.1803805
Granada‎,Spain,388290,-3.5850114,37.1649783
Brno,Czechia,388277,16.6099833,49.2003935
Coventry,United Kingdom,388271,-1.5026745279244569,52.40074087605872
Béjaïa,Algeria,384937,5.0700158,36.7603776
Southampton,United Kingdom,384417,-1.3999768,50.9000314
Sevastopol,Russia,379200,33.52439491312476,44.60392525649835
Vigo,Spain,378952,-8.7299945,42.2200185
Karlsruhe,Germany,377487,8.3999934,48.9999923
Makiyivka,Ukraine,376610,37.9746224,48.0296639
Kahramanmaraş,Turkey,376045,36.9450211,37.6099898
Palma,Spain,375773,2.654246,39.5742627
Kaunas,Lithuania,374643,23.8800305,54.9504043
Denizli,Turkey,372344,29.0800232,37.7703935
Van,Turkey,371713,43.399976,38.4954397
La Coruña,Spain,370610,-8.4199876,43.3299766
Reading,United Kingdom,369804,-0.9800283,51.4699707
Mahilyow,Belarus,369200,30.32465,53.8985047
Valletta,Malta,368250,14.5147107,35.8997325
Bydgoszcz,Poland,366452,18.0100012,53.1204126
Vladikavkaz,Russia,364630,44.669976,43.0503813
Stavropol,Russia,363064,41.9800109,45.0500008
Lublin,Poland,360044,22.5727201,51.2503976
Augsburg,Germany,358989,10.8999959,48.3500061
Simferopol,Russia,358108,34.0987349,44.9491543
Toulon,France,357693,5.9188216,43.1341865
San Sebastián,Spain,357468,-1.9799931,43.3203906
Archangel,Russia,356051,40.5450081,64.5749589
Vinnytsya,Ukraine,352115,28.4815584,49.225379
Haarlem,Netherlands,349957,4.629991,52.3804319
Linz,Austria,349161,14.2887813,48.3192328
Verona,Italy,347459,10.9900162,45.4403904
Charleroi,Belgium,345367,4.450002,50.4203965
Belgorod,Russia,345289,36.5999259,50.6299962
Vitsyebsk,Belarus,342700,30.1853304,55.1887101
Plovdiv,Bulgaria,340494,24.7539823,42.1539761
Kaluga,Russia,338978,36.2700236,54.5203788
Gijón,Spain,335972,-5.6700004,43.5300161
Orel,Russia,334552,36.0699841,52.9699567
Bielefeld,Germany,331906,8.5300114,52.0299882
Sochi,Russia,327608,39.7299674,43.5900124
Montpellier,France,327254,3.8699857,43.6103988
Sousse,Tunisia,327004,10.6250256,35.8299951
Iași,Romania,325914,27.5749471,47.168347
Volzhskiy,Russia,323293,44.7743623,48.794811
Valladolid,Spain,322304,-4.7500308,41.6500016
Córdoba,Spain,321376,-4.7700037,37.8799992
Smolensk,Russia,320991,32.0473356,54.7826884
Podolsk,Russia,320635,37.5299467,55.3804297
Kherson,Ukraine,320477,32.6006649,46.6325372
Murmansk,Russia,319263,33.1000362,68.9699878
Vladimir,Russia,318648,40.4099259,56.1299705
Poltava,Ukraine,317847,34.5702823,49.5740399
Hrodna,Belarus,317365,23.8340901,53.6778721
Cluj-Napoca,Romania,316748,23.5984456,46.7884219
Alicante,Spain,315863,-0.4836407,38.3512199
Timișoara,Romania,315053,21.2234484,45.7588206
Ljubljana,Slovenia,314807,14.514969,46.0552883
Pescara,Italy,314789,14.2186564,42.4554305
Gdynia,Poland,314664,18.5300211,54.5203788
Varna,Bulgaria,312770,27.8952893,43.2156425
Koblenz,Germany,312633,7.5999906,50.3504783
Cherepovets,Russia,311850,37.9099751,59.1404328
Galați,Romania,311156,28.0458744,45.4558934
Brașov,Romania,311044,25.6071602,45.6475354
Dayr az Zawr,Syria,309141,40.1299947,35.3303874
Nalchik,Russia,307866,43.6179471,43.4981059
Chernihiv,Ukraine,307684,31.3015413,51.5049298
Ksar El Kebir,Morocco,306600,-5.9099858,35.0203805
Craiova,Romania,304142,23.8258736,44.3262724
Constanța,Romania,303399,28.6099743,44.2026624
Chemnitz,Germany,302643,12.919976,50.8299839
Kingston upon Hull,United Kingdom,302296,-0.3299905,53.7504258
Batman,Turkey,302074,41.1400105,37.890412
Tambov,Russia,301482,41.4300187,52.730023
Brest,Belarus,300715,23.6999898,52.0999839
Chernivtsi,Ukraine,298251,25.9215596,48.305306
İskenderun,Turkey,297943,36.1700297,36.5804144
Cherkasy,Ukraine,297568,32.0709,49.4347203
Vologda,Russia,294889,39.9199816,59.2099892
Sumy,Ukraine,294456,34.7808638,50.9242934
Swansea,United Kingdom,294339,-3.9500021,51.6299868
Białystok,Poland,291855,23.182319226878395,53.13169570980265
Cagliari,Italy,291511,9.1039815,39.2223979
Kassel,Germany,289924,9.5000297,51.3000069
Sakarya,Turkey,286787,30.4000025,40.7666611
Cádiz,Spain,283157,-6.2861410092128995,36.52482926254671
Zhytomyr,Ukraine,282192,28.6621675,50.2455752
Batna,Algeria,280798,6.1700004,35.5699593
Rize,Turkey,279450,40.5218571,41.0208411
Taganrog,Russia,279056,38.919991,47.229997
Kostroma,Russia,277656,40.9400227,57.7700255
Bern,Switzerland,275329,7.4669755,46.9166828
Sétif,Algeria,274744,5.3999698,36.1800255
Pamplona,Spain,274545,-1.6499874,42.8200078
Blackpool,United Kingdom,272792,-3.0500053,53.8303951
Elâzığ,Turkey,271492,39.2299979,38.6799762
Venice,Italy,270816,12.3349987,45.4386593
Münster,Germany,270184,7.6200411,51.9704053
Kiel,Germany,269427,10.130017,54.3303904
Malmö,Sweden,269349,13.023059685006762,55.59942395416559
Nancy,France,268976,6.2000244,48.6836808
Lausanne,Switzerland,265702,6.6500227,46.5304273
Saint-Étienne,France,265684,4.3800321,45.4303911
Petrozavodsk,Russia,265025,34.36122287793718,61.781318478265966
Sivas,Turkey,264022,37.0349898,39.7454151
Graz,Austria,263234,15.4100048,47.0777582
Balıkesir,Turkey,261516,27.8900183,39.6503821
Adapazarı,Turkey,260109,30.4150321,40.799976
Tampere,Finland,259279,23.7500126,61.5000045
Dzerzhinsk,Russia,256537,43.460024,56.2503766
Rivne,Ukraine,255106,26.2528055,50.6165861
Freiburg,Germany,254889,7.8699483,48.0004151
Messina,Italy,252026,15.5499963,38.2004706
Como,Italy,250000,9.0800036,45.8100061
Caserta,Italy,250000,14.3373571,41.0599601
Niš,Serbia,250000,21.8999963,43.3304159
Luzern,Switzerland,250000,8.2800008,47.0504214
Kirovohrad,Ukraine,249454,32.2602941,48.5040536
Melun,France,249432,2.6666483,48.5333024
Miskolc,Hungary,247757,20.780013,48.100409
Plymouth,United Kingdom,247297,-4.1599893,50.3853858
Rzeszów,Poland,245686,21.995991522124438,50.02865490248002
Ternopil,Ukraine,244768,25.5821488,49.5359802
Braunschweig,Germany,244715,10.5000203,52.2499748
Manisa,Turkey,243971,27.4399682,38.6303927
Le Havre,France,242124,0.1049701,49.5049744
Novorossiysk,Russia,241856,37.769932,44.7299687
Ivano-Frankivsk,Ukraine,241239,24.7093855,48.9347508
Fürth,Germany,237844,10.9999898,49.4700153
Århus,Denmark,237551,10.210684,56.157204
Košice,Slovakia,236563,21.2500101,48.730448
Tours,France,236096,0.6999467,47.3803754
Luton,United Kingdom,235958,-0.4200108,51.8803591
Oviedo,Spain,235651,-5.8299907,43.3504922
Lübeck,Germany,235390,10.6699841,53.8703927
Clermont-Ferrand,France,233050,3.0800081,45.7799821
Kremenchuk,Ukraine,232742,33.4296285,49.0835272
Ploiești,Romania,232542,26.036488,44.9469064
Debrecen,Hungary,231286,21.6300386,47.5304696
Osnabrück,Germany,231268,8.049989,52.280438
Magdeburg,Germany,229826,11.6200036,52.1304214
Tlimcen,Algeria,229777,-1.3200076,34.8904142
Noginsk,Russia,229731,38.4800179,55.8704256
Starsy Oskol,Russia,226977,37.8399536,51.3004203
Kolpino,Russia,225801,30.6500048,59.7300092
Novi Sad,Serbia,225457,19.8499406,45.2503762
Skikda,Algeria,225181,6.8999816,36.880422
Vitoria,Spain,224578,-2.6699768,42.8499801
Nicosia,Cyprus,224300,33.3666349,35.1666765
Adıyaman,Turkey,223744,38.2799267,37.7703935
Banja Luka,Bosnia and Herzegovina,221738,17.1799743,44.7804049
Shakhty,Russia,221312,40.2700378,47.7203805
Babruysk,Belarus,220517,29.1927811,53.1265621
Velikiy Novgorod,Russia,218717,31.330015,58.4999809
Potsdam,Germany,218095,13.0699926,52.4004049
Orléans,France,217301,1.9000284,47.9004212
Rybinsk,Russia,216724,38.8199971,58.0503443
Groningen,Netherlands,216688,6.5800012,53.2204065
Trieste,Italy,216035,13.8000256,45.6503776
Kielce,Poland,215733,20.6600203,50.8903937
Mulhouse,France,215454,7.34998,47.7504045
Split,Croatia,214741,16.4699918,43.5204043
Oradea,Romania,213830,21.9199951,47.0499821
Lutsk,Ukraine,213661,25.3333785,50.7471983
Bergen,Norway,213585,5.3245223,60.3910024
Brăila,Romania,213569,27.9690035,45.2919961
Kırıkkale,Turkey,211138,33.5299841,39.8503699
Rennes,France,209375,-1.670012,48.1000214
Santander,Spain,208763,-3.7999854,43.3804645
Sidi bel Abbes,Algeria,208604,-0.6399716,35.1903443
Salzburg,Austria,206279,13.0400203,47.8104783
Pisa,Italy,203336,10.4000264,43.7204696
Erfurt,Germany,203254,11.0299621,50.9700529
Rostock,Germany,203080,12.1499971,54.0703805
Khvoy,Iran,202728,44.9700093,38.5303988
Biskra,Algeria,202103,5.7300272,34.8599768
Taranto,Italy,202033,17.2299971,40.5083917
Pskov,Russia,201990,28.3299397,57.829996
Cartagena,Spain,201274,-0.9800283,37.6004297
Bergamo,Italy,200000,9.6699934,45.7004004
Bacău,Romania,199668,26.9196382,46.5784347
Taza,Morocco,199633,-4.019972,34.2203776
Armavir,Russia,199548,41.130037,45.0003915
Bila Tserkva,Ukraine,199163,30.1309151,49.7743119
Aydın,Turkey,198857,27.8500207,37.8499752
Reims,France,196565,4.029976,49.2503904
Burgas,Bulgaria,195966,27.4746431,42.5146
Severodvinsk,Russia,194292,39.830013,64.5700238
Oxford,United Kingdom,192796,-1.2480763373698314,51.751827978066444
Klaipėda,Lithuania,192307,21.1199406,55.720409
Norwich,United Kingdom,190756,1.3000134,52.630365
Caen,France,190099,-0.3499893,49.1837537
Aberdeen,United Kingdom,189364,-2.105049991692299,57.145133499698055
Cork,Ireland,188907,-8.465109738576434,51.89283760162047
Angers,France,188380,-0.5300299,47.4800075
Mostaganem,Algeria,188354,0.0899839,35.940376
Szeged,Hungary,187765,20.1500256,46.2503927
Gibraltar,Gibraltar,187083,-5.346014061862125,36.128341769040006
Olsztyn,Poland,186670,20.48556398050473,53.77258429042908
Pécs,Hungary,186262,18.2200142,46.0804289
Marbella,Spain,186131,-4.8833301,36.5166199
Kütahya,Turkey,185008,29.9299971,39.4200086
Mainz,Germany,184997,8.2732192,49.9824725
Ruse,Bulgaria,184270,25.9733394,43.8536914
Tiarat,Algeria,184195,1.3199605,35.380436
Kramatorsk,Ukraine,184105,37.5343908,48.7193634
Kutaisi,Georgia,183945,42.729991,42.2499909
Corum,Turkey,183418,34.9500008,40.5199931
Mataró,Spain,183293,2.4500207,41.5399567
Castello,Spain,180610,-0.0500076,39.9704142
Reggio di Calabria,Italy,180353,15.6413602,38.1149978
Almería,Spain,179405,-2.4299915,36.8303475
Ar Raqqah,Syria,177636,39.0199849,35.9303766
Treviso,Italy,177309,12.2400175,45.6700147
Nyíregyháza,Hungary,176880,21.7187154,47.9653268
Turku,Finland,175945,22.2549617,60.4538668
Modena,Italy,175502,10.9199947,44.6500252
Stavanger,Norway,173132,5.6800044,58.9700039
Ulm,Germany,172955,9.9999991,48.4003906
Isparta,Turkey,172334,30.5299605,37.7699801
Tébessa,Algeria,171742,8.1200105,35.4104342
Prizren,Kosovo,171464,20.7500923,42.2293203
Kragujevac,Serbia,171197,20.9200044,44.0199603
Pitești,Romania,171021,24.8758353,44.8563176
Rijeka,Croatia,170992,14.4500118,45.3299837
Djelfa,Algeria,170901,3.2500236,34.6799878
Burgos,Spain,170183,-3.6799669,42.3503982
Čačak,Serbia,170000,20.330118,43.8897357
Dijon,France,169946,5.0300183,47.3304043
Nîmes,France,169547,4.3500081,43.8303854
Arad,Romania,169065,21.31998,46.17001
Baranavichy,Belarus,168772,26.0134403,53.1368457
Würzburg,Germany,168561,9.950028,49.8004344
Volgodonsk,Russia,167731,42.1599483,47.5099799
Oldenburg,Germany,167458,8.2200044,53.1299986
Novocherkassk,Russia,166974,40.0800236,47.4199595
Reykjavík,Iceland,166212,-21.936546009025054,64.14345946317033
Parma,Italy,166011,10.3200313,44.8104289
Elbasan,Albania,165010,20.0838281,41.1215068
Zenica,Bosnia and Herzegovina,164423,17.9199808,44.219974
Regensburg,Germany,164359,12.1200248,49.0204045
Pizen,Czechia,164180,13.3600008,49.740438
Patra,Greece,163360,21.7299808,38.2300037
Ingolstadt,Germany,163325,11.4499882,48.7704197
Mostar,Bosnia and Herzegovina,163067,17.8200386,43.3504922
Tartus,Syria,162980,35.8865841,34.8846345
Lecce,Italy,162582,18.1499926,40.3603904
Salamanca,Spain,162353,-5.6700004,40.9704049
York,United Kingdom,158947,-1.0721040586041342,53.9511680622694
Samarra,Iraq,158508,43.8750006,34.193997
Maykop,Russia,158451,40.1200211,44.609976
Odense,Denmark,158222,10.3833349,55.4003768
Albacete,Spain,158094,-1.8699998,39.0003443
Melitopol,Ukraine,158000,35.3774682,46.8378245
Tiraspol,Moldova,157000,29.639989,46.8530949
Afyon,Turkey,156992,30.5500109,38.7503854
Zonguldak,Turkey,156918,31.7800134,41.4303768
Livorno,Italy,156274,10.3022747,43.5511337
Shkodër,Albania,155767,19.5188496,42.0684516
Sibiu,Romania,155565,24.1371207,45.7971129
Batumi,Georgia,155542,41.6300065,41.6000047
Barysaw,Belarus,155389,28.4921521,54.226004
Innsbruck,Austria,155214,11.4099906,47.2804073
Foggia,Italy,155203,15.5599698,41.4604783
Ordu,Turkey,155117,37.8699259,41.0004289
Antakya,Turkey,154803,36.1166766,36.2333341
Kovrov,Russia,154224,41.3300248,56.3603699
Lemosos,Cyprus,154000,33.0333219,34.6754144
Uşak,Turkey,152862,29.4200024,38.6803638
Nusaybin,Turkey,152668,41.218352,37.0749837
Limoges,France,152199,1.2499906,45.8299791
Kerch,Russia,152195,36.4880981,45.3685085
Dundee,United Kingdom,151592,-3.0000084,56.470389
Bălți,Moldova,151355,27.9053145,47.7590861
Uzhgorod,Ukraine,150832,22.2500008,48.629989
M'sila,Algeria,150000,4.5450006,35.7000031
Tirgu Mures,Romania,149433,24.5578186,46.5582033
Perugia,Italy,149125,12.3899825,43.1103776
Gyumri,Armenia,148381,43.8474939,40.789434
Jijel,Algeria,148000,5.7660036,36.821997
Médéa,Algeria,147707,2.7700012,36.2704075
Kolomna,Russia,147690,38.7849605,55.0799829
Trondheim,Norway,147139,10.4166662,63.4166575
Aix-en-Provence,France,146821,5.4499926,43.5199909
Perpignan,France,146620,2.8999674,42.6999892
Brugge,Belgium,146469,3.2300248,51.2203736
Podgorica,Montenegro,145850,19.2663069,42.4659725
Biarritz,France,145348,-1.5615949,43.4732754
Brest,France,144899,-4.4950076,48.3904429
Qairouan,Tunisia,144522,10.099993,35.6803919
Le Mans,France,144515,0.2025815106620919,48.00439087635541
Tall Afar,Iraq,144465,42.4497497,36.3759825
Tuzla,Bosnia and Herzegovina,144334,18.6800378,44.5504706
Székesfehérvár,Hungary,144319,18.4080647,47.1946761
Huelva,Spain,144174,-6.9299494,37.2503736
Tizi-Ouzou,Algeria,144000,4.0461444,36.7117101
Ipswich,United Kingdom,143767,1.1699955,52.0703475
Logroño,Spain,143698,-2.4299915,42.470365
Stara Zagora,Bulgaria,143431,25.6227148,42.4231328
Amiens,France,143086,2.300004,49.9003766
Pyatigorsk,Russia,142865,43.0900207,44.0799567
Arzamas,Russia,142597,43.8000032,55.3999892
Durrës,Albania,142432,19.448208,41.3177997
Saïda,Algeria,142213,0.1400325,34.8403915
Arnhem,Netherlands,141674,5.9229996,51.987996
Melilla,Spain,141308,-2.9500114,35.3000016
Orekhovo-Zuevo,Russia,140247,38.9799873,55.8200153
Peterborough,United Kingdom,140141,-0.2484040303391689,52.567187150649296
Badajoz,Spain,140133,-6.9699728,38.8804291
Bordj Bou Arréridj,Algeria,140000,4.7646624,36.0777088
Bizerte,Tunisia,139843,9.8549951,37.2904228
Göttingen,Germany,139419,9.920004,51.5204328
Bremerhaven,Germany,137751,8.5799825,53.550438
Iraklio,Greece,137154,25.1304968,35.325013
Oulu,Finland,136752,25.4700109,64.9999976
Baia Mare,Romania,136553,23.5790669,47.659454
León,Spain,136227,-5.5700066,42.5799707
Győr,Hungary,136081,17.6300244,47.7003559
Serpukhov,Russia,135584,37.4300044,54.9303797
Orsha,Belarus,135206,30.4215433,54.5153146
Souk Ahras,Algeria,134947,7.9499951,36.2903805
Zakho,Iraq,134863,42.6872029,37.1445402
Ravenna,Italy,134631,12.2200187,44.4203752
's-Hertogenbosch,Netherlands,134520,5.3166605,51.6833371
Nevinnomyssk,Russia,134380,41.9500386,44.6200529
Šiauliai,Lithuania,133528,23.3250256,55.9386385
Uppsala,Sweden,133117,17.6399979,59.8600529
Kislovodsk,Russia,132771,42.7200175,43.9099671
Opole,Poland,131412,17.9313496,50.6849799
Murom,Russia,131287,42.0400073,55.5704181
Ferrara,Italy,130992,11.6099267,44.8504265
Novomoskovsk,Russia,130982,38.289305215312226,54.010714982644835
Buzău,Romania,130954,26.8065185,45.156506
Pinsk,Belarus,130777,26.0940555,52.1278634
Nikopol,Ukraine,130500,34.4062097,47.5665914
