Country Name,Country Code,Year,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),Methane (CH4) emissions (total) excluding LULUCF (Mt CO2e),Nitrous oxide (N2O) emissions from Agriculture (Mt CO2e),Total greenhouse gas emissions excluding LULUCF (Mt CO2e),Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita)
Belarus,BLR,2023,53.8204,5.86387585149229,18.3912,13.1893,86.9331,9.47159266347639
Belarus,BLR,2024,54.2158,5.93649429972465,18.4118,13.3173,87.4914,9.58008915067063
Belgium,BEL,2017,99.7694,8.77081443615992,12.6912,2.6021,124.0806,10.9080331016061
Belgium,BEL,2018,100.4585,8.79128601300038,12.7423,2.6378,124.6967,10.912410145257
Belgium,BEL,2019,100.3135,8.73127988733552,12.7111,2.6448,124.3926,10.8271230344208
Belgium,BEL,2020,91.9274,7.96694296814415,12.6112,2.6237,115.6721,10.0247915605735
Belgium,BEL,2021,96.0214,8.2875698190821,12.4518,2.5124,119.5214,10.3158457112106
Belgium,BEL,2022,89.6767,7.6776616173853,12.1172,2.3384,111.9884,9.58787556045653
Belgium,BEL,2023,85.7301,7.27763098404696,11.7941,2.2671,107.2263,9.10244410288468
Belgium,BEL,2024,86.6463,7.30661519351762,11.74,2.2114,107.824,9.09246530579891
Bosnia and Herzegovina,BIH,2017,23.9898,6.99679935322086,5.9458,0.6778,31.8522,9.28992539990585
Bosnia and Herzegovina,BIH,2018,24.0642,7.10487156775908,6.2162,0.6749,32.2559,9.52344257454975
Bosnia and Herzegovina,BIH,2019,22.5975,6.75452909895075,5.9748,0.6531,30.553,9.13247605090131
Bosnia and Herzegovina,BIH,2020,22.5364,6.83055960433407,5.9363,0.6806,30.4749,9.23664031904476
Bosnia and Herzegovina,BIH,2021,23.0097,7.09101986590062,5.4804,0.5095,30.3517,9.35364249268161
Bosnia and Herzegovina,BIH,2022,22.3986,6.98907452004835,5.7615,0.5042,30.0733,9.38382464813739
Bosnia and Herzegovina,BIH,2023,20.8288,6.53950474604507,5.5084,0.473,28.1994,8.85361183244466
Bosnia and Herzegovina,BIH,2024,20.4074,6.44935787372249,5.3636,0.442,27.6267,8.73087581808408
Bulgaria,BGR,2017,49.2832,7.2438350558862,8.6168,3.2362,62.5683,9.19653035775284
Bulgaria,BGR,2018,46.3135,6.90134019828938,8.3952,3.2164,59.3596,8.84538619699177
Bulgaria,BGR,2019,44.6358,6.74590424327681,8.2081,3.2939,57.7936,8.73447079416618
Bulgaria,BGR,2020,39.4151,6.01693316252197,8.1197,3.377,52.5825,8.02700964905103
Bulgaria,BGR,2021,45.8711,7.04917445804336,8.2219,3.3443,59.1719,9.09315551870123
Bulgaria,BGR,2022,49.4431,7.64769654654833,8.2155,3.2371,62.7432,9.70491239342581
Bulgaria,BGR,2023,36.9706,5.73490257494032,7.6278,3.2664,49.6647,7.70401929948767
Bulgaria,BGR,2024,34.1885,5.30760215797104,7.3721,3.261,46.6766,7.24632033832286
Croatia,HRV,2017,18.7971,4.65112768894595,4.3642,1.2592,26.788,6.62838461951494
Croatia,HRV,2018,17.7661,4.45402410514506,4.1733,1.2689,25.7117,6.4460141271443
Croatia,HRV,2019,17.9722,4.5506268056586,4.1524,1.2769,26.0109,6.58605506166775
Croatia,HRV,2020,17.1915,4.39207849561316,4.1319,1.3561,25.435,6.4981250348091
Croatia,HRV,2021,17.5067,4.5132213846884,4.003,1.2049,25.538,6.58368782935518
Croatia,HRV,2022,17.6346,4.57371420212618,3.9312,0.9567,25.3947,6.5863756506376
Croatia,HRV,2023,18.6644,4.83573016043274,3.9249,0.8859,26.8024,6.94419183322167
Croatia,HRV,2024,18.6796,4.83151414825927,3.915,0.8414,26.8418,6.94268273757178
Cyprus,CYP,2017,7.3632,5.87048294831676,1.0604,0.1397,9.0329,7.20169021944948
Cyprus,CYP,2018,7.214,5.67702050070156,1.0802,0.1457,8.9344,7.03088050477794
Cyprus,CYP,2019,7.2168,5.60889302704421,1.0938,0.1456,8.9769,6.97684178783854
Cyprus,CYP,2020,6.8024,5.22358661605671,1.127,0.1562,8.6129,6.61387586225962
Cyprus,CYP,2021,6.9192,5.25252617267475,1.1411,0.1505,8.7563,6.6471116495826
Cyprus,CYP,2022,7.2231,5.425313774533,1.1344,0.1365,9.0554,6.80156530491148
Cyprus,CYP,2023,7.2032,5.35563459868429,1.1963,0.1341,9.1078,6.77171934666492
Cyprus,CYP,2024,7.3411,5.40469504859816,1.2786,0.1332,9.3432,6.87868940323143
Czechia,CZE,2017,110.3808,10.4187499138699,14.1879,3.204,135.4786,12.7877099285493
Czechia,CZE,2018,109.3448,10.2865042924091,13.8771,2.9392,133.859,12.5926534968064
Czechia,CZE,2019,103.7793,9.72456561033821,13.9279,2.9392,128.1939,12.0123183659471
Czechia,CZE,2020,94.8596,8.86715826663618,13.4838,2.764,118.2477,11.0533996618762
Czechia,CZE,2021,99.5152,9.4724309646164,13.7652,2.8418,123.5249,11.7578127528372
Czechia,CZE,2022,97.6888,9.15364691432385,13.8223,2.9236,121.9162,11.4238054714163
Czechia,CZE,2023,85.6093,7.88005974203708,13.2953,2.8997,108.8331,10.0177355720827
Czechia,CZE,2024,77.7492,7.12966532502255,13.0965,2.8661,100.3792,9.20485486144556
Denmark,DNK,2017,33.5457,5.81887534735593,8.7547,3.9963,47.703,8.27461673761227
Denmark,DNK,2018,33.5379,5.78874820578994,8.7584,3.9114,47.6681,8.22766566625863
Denmark,DNK,2019,30.0794,5.17323991963432,8.642,4.023,44.0304,7.57261856810531
Denmark,DNK,2020,27.7879,4.76521606117498,8.6918,4.1598,41.8742,7.1808092870945
Denmark,DNK,2021,29.5641,5.04788249694838,8.6256,3.8679,43.2563,7.38573877279364
Denmark,DNK,2022,28.4942,4.8270407249692,8.1728,3.771,41.5535,7.03934262990389
Denmark,DNK,2023,26.2104,4.4073670007762,8.0519,3.6219,38.9461,6.5489178321937
Denmark,DNK,2024,25.5708,4.2782054919933,8.0684,3.6157,38.2646,6.40198280339007
Estonia,EST,2017,21.9647,16.6729670316324,2.872,1.4738,26.7821,20.3297595841455
Estonia,EST,2018,23.6488,17.8889647853178,2.9373,1.4824,28.5447,21.5924331512575
Estonia,EST,2019,15.4629,11.6534202327534,2.3965,1.5701,19.8753,14.978770033567
Estonia,EST,2020,12.1329,9.12576098778358,1.883,1.6003,16.0162,12.0465851636904
Estonia,EST,2021,12.9256,9.71169075504984,1.8761,1.5168,16.7189,12.5617987996381
Estonia,EST,2022,15.0182,11.1341597224282,1.83,1.4963,18.744,13.896385041962
Estonia,EST,2023,11.4741,8.37350742837627,1.6579,1.4768,14.9843,10.9351624405416
Estonia,EST,2024,10.6485,7.75936884491537,1.6319,1.4882,14.1292,10.2956918142065
Finland,FIN,2017,46.0759,8.36494370044446,7.3287,3.9385,61.5473,11.1737307228804
Finland,FIN,2018,47.4392,8.6010307269027,7.2461,4.0125,62.9803,11.4187316710558
Finland,FIN,2019,44.1412,7.99426833424913,7.172,4.11,59.607,10.7952287794529
Finland,FIN,2020,39.474,7.13874546232844,6.9319,4.1186,54.3465,9.82838907302104
Finland,FIN,2021,39.3124,7.09479866241161,8.4742,3.9433,55.4026,9.99863382480148
Finland,FIN,2022,37.1238,6.68162198489374,9.6678,3.819,54.0916,9.7355234043411
Finland,FIN,2023,32.8867,5.88954587564164,10.0533,3.7454,49.874,8.93173261536582
Finland,FIN,2024,31.1074,5.53521221243539,10.764,3.7418,48.679,8.66188094437794
France,FRA,2017,338.709,5.06155143263354,73.9145,28.6509,465.7704,6.96031352989822
France,FRA,2018,328.5501,4.89217066506758,73.1468,27.7948,452.3491,6.73556026125002
France,FRA,2019,322.9043,4.79214044818249,72.3377,27.784,443.9014,6.58782758218096
France,FRA,2020,287.0868,4.24677642127474,71.0009,24.2845,401.5864,5.94052967473463
France,FRA,2021,316.7044,4.66820869200128,69.9088,25.9997,430.8782,6.35112539779638
France,FRA,2022,307.6802,4.51246828877731,68.483,24.496,417.181,6.11841786757941
France,FRA,2023,284.1541,4.15598361008436,67.4376,24.0378,390.7429,5.71493104676945
France,FRA,2024,274.4505,4.00355772602595,66.9823,23.1041,378.1202,5.51584365150174
Germany,DEU,2017,774.4767,9.36976518940283,64.8481,24.1144,890.4565,10.7729106845661
Germany,DEU,2018,746.6974,9.00657809367265,63.3601,22.7145,859.3059,10.3648488593956
Germany,DEU,2019,696.5002,8.38218043063623,61.1892,22.9741,806.0433,9.70050026619583
Germany,DEU,2020,642.0878,7.72103264767393,59.1435,22.2076,747.0268,8.98291216791128
Germany,DEU,2021,670.667,8.06128144646434,58.624,20.9928,773.6886,9.29958020376874
Germany,DEU,2022,658.0886,7.91182860265874,57.5822,20.531,758.3872,9.11766218234182
Germany,DEU,2023,589.6596,7.07982839106762,55.6814,19.9481,685.6584,8.23245107328703
Germany,DEU,2024,579.9356,6.94395663386317,55.5066,19.4587,674.3583,8.0745427438593
Greece,GRC,2017,68.3839,6.35852543809071,11.9723,2.7097,90.4258,8.40804267612264
Greece,GRC,2018,66.5357,6.19923893694163,11.6946,2.5722,87.9204,8.19168607276219
Greece,GRC,2019,61.4927,5.7354129269356,11.3774,2.5856,82.0806,7.65564260945819
Greece,GRC,2020,52.3606,4.89415483279633,11.1187,2.5952,72.2833,6.75633323578162
Greece,GRC,2021,53.7151,5.08222613106168,11.3163,2.3678,73.506,6.95473179775928
Greece,GRC,2022,55.1164,5.28092585505901,11.2634,2.442,74.6243,7.15005688480525
Greece,GRC,2023,51.2379,4.92324127436463,11.4275,2.4642,70.598,6.78347448836885
Greece,GRC,2024,52.5087,5.04642227577271,11.3281,2.4369,71.5001,6.87161741501839
Hungary,HUN,2017,51.1346,5.2571073027842,11.187,4.5381,69.8689,7.18316569265231
Hungary,HUN,2018,51.2595,5.28069332491601,11.1491,4.6658,70.1115,7.22280416410322
Hungary,HUN,2019,51.5028,5.31240175169761,11.0864,4.6503,70.3185,7.2532002643885
Hungary,HUN,2020,49.6521,5.13443109342005,11.1283,4.8071,68.681,7.10217416639341
Hungary,HUN,2021,50.986,5.29398400902426,11.0753,4.7649,69.9447,7.26250585093945
Hungary,HUN,2022,47.5733,4.95293425120931,10.8995,3.9576,65.5641,6.82598593201885
Hungary,HUN,2023,42.9776,4.48048025757632,10.7532,4.0996,60.9502,6.35415118097168
Hungary,HUN,2024,42.6269,4.45791782423566,10.6988,3.9797,60.4529,6.32215949169975
Ireland,IRL,2017,38.2632,7.92618041220563,20.7981,8.727,69.9073,14.4812214328698
Ireland,IRL,2018,38.0252,7.76337876800063,19.0219,8.3584,67.2065,13.7211511095704
Ireland,IRL,2019,36.369,7.30821291296457,18.9552,8.2011,65.2785,13.1174675311105
Ireland,IRL,2020,34.2933,6.80456776897729,18.9124,8.2851,62.9056,12.4818964126572
Ireland,IRL,2021,36.3826,7.11906758228265,19.0845,8.279,65.1008,12.7384242704113
Ireland,IRL,2022,35.6861,6.84581291258731,18.8602,7.9781,63.8576,12.2500688684624
Ireland,IRL,2023,32.8629,6.1870780177041,18.3798,7.8564,60.358,11.3635636231916
Ireland,IRL,2024,32.5693,6.03605774131313,18.1066,7.7902,59.6778,11.0600672005397
Italy,ITA,2017,345.6817,5.7611454316748,48.129,9.3621,426.1244,7.10180677885223
Italy,ITA,2018,340.3734,5.65886939655412,48.6083,9.5074,421.8733,7.01384393314311
Italy,ITA,2019,332.562,5.56784056329278,48.3559,9.2871,413.4916,6.92278523421447
Italy,ITA,2020,295.2134,4.96667406979317,49.0779,9.4939,375.4962,6.31735293806403
Italy,ITA,2021,330.3484,5.58651571090224,48.7475,8.4652,408.9319,6.91543983273145
Italy,ITA,2022,331.006,5.60897190137329,47.9315,8.3255,408.0605,6.91467791689678
Italy,ITA,2023,304.3081,5.1591446091273,46.2115,8.1695,378.5108,6.41715403998927
Italy,ITA,2024,299.2285,5.07573834102673,44.8963,7.9635,371.1717,6.29609288150718
Latvia,LVA,2017,7.4321,3.82654532273942,2.2557,1.9689,12.3325,6.34960108080945
Latvia,LVA,2018,8.1079,4.20714476222697,2.2033,1.9199,12.9111,6.69949885168646
Latvia,LVA,2019,7.9078,4.13194121501373,2.1884,2.0153,12.7841,6.67987932002036
Latvia,LVA,2020,7.2771,3.82914774350693,2.1616,2.0939,12.1885,6.41348439237254
Latvia,LVA,2021,7.5304,3.99598830452802,2.1676,2.0742,12.4485,6.60576601626965
Latvia,LVA,2022,6.9268,3.68567769315781,2.1535,2.0641,11.8236,6.29121365895084
Latvia,LVA,2023,6.9004,3.66319656422698,2.0756,2.0463,11.698,6.21008541654501
Latvia,LVA,2024,6.8072,3.647774745944,2.0663,2.0952,11.6424,6.23881371227207
Lithuania,LTU,2017,13.9642,4.91240709777077,4.2196,3.517,24.9035,8.76069736607427
Lithuania,LTU,2018,14.0184,4.97247446083995,3.9307,3.4304,24.4549,8.67441118047673
Lithuania,LTU,2019,14.2965,5.08575146500164,3.8391,3.4693,24.6564,8.77112037363456
Lithuania,LTU,2020,14.2541,5.07196741780172,3.7302,3.6456,24.4498,8.69985400493672
Lithuania,LTU,2021,14.3318,5.10322677130588,3.6555,3.4649,24.2878,8.64833106630869
Lithuania,LTU,2022,13.1703,4.65112254775415,3.5227,3.2187,22.2997,7.87519171758829
Lithuania,LTU,2023,12.9794,4.51994281903548,3.3119,3.1597,21.5756,7.51348123074887
Lithuania,LTU,2024,12.97,4.49056496639174,3.2337,3.1313,21.5357,7.45624209303952
Luxembourg,LUX,2017,9.1884,15.408092082316,0.6786,0.1367,10.1941,17.0945574307102
Luxembourg,LUX,2018,9.5448,15.6999753269183,0.6637,0.1323,10.5294,17.3195164075993
Luxembourg,LUX,2019,9.6917,15.63174898105,0.6491,0.1323,10.6599,17.1933593655494
Luxembourg,LUX,2020,7.9929,12.6787105084079,0.6353,0.1309,8.9246,14.1566164725365
Luxembourg,LUX,2021,8.3806,13.0933781621838,0.6414,0.1293,9.3179,14.5577629737026
Luxembourg,LUX,2022,7.2657,11.1248914795982,0.6463,0.1291,8.1924,12.5438100881484
Luxembourg,LUX,2023,6.9416,10.4160977146887,0.64,0.1272,7.8525,11.7829329411941
Luxembourg,LUX,2024,7.1474,10.5572722492364,0.6384,0.1266,8.0537,11.8959486685613
Malta,MLT,2017,1.5582,3.33585952653145,0.2187,0.0163,2.0164,4.31679319041074
Malta,MLT,2018,1.5674,3.23907890630974,0.222,0.0158,2.0118,4.15744477715575
Malta,MLT,2019,1.673,3.32002413119751,0.2322,0.0156,2.1153,4.19775675117878
Malta,MLT,2020,1.6204,3.14341694310268,0.234,0.0157,2.0609,3.99794370404858
Malta,MLT,2021,1.6274,3.14078934671427,0.2335,0.0159,2.0682,3.99150825050661
Malta,MLT,2022,1.7963,3.3821427831742,0.2346,0.0154,2.235,4.20814402961328
Malta,MLT,2023,1.7877,3.23421022637843,0.2368,0.0156,2.2252,4.02571158233333
Malta,MLT,2024,1.8083,3.17888641409729,0.2389,0.0156,2.2436,3.94411854154105
Moldova,MDA,2017,8.3058,3.01460262798668,2.3821,0.8317,11.9269,4.32888633048404
Moldova,MDA,2018,8.8624,3.27363703423792,2.3515,0.9918,12.6204,4.66178561415601
Moldova,MDA,2019,9.1101,3.41941968843461,2.2612,0.8958,12.6926,4.76408890543738
Moldova,MDA,2020,8.8484,3.35786090249817,2.2734,0.8329,12.3849,4.69991992804909
Moldova,MDA,2021,9.6527,3.71857097344219,2.248,0.8554,13.2142,5.09059025529228
Moldova,MDA,2022,8.2882,3.27771217414482,2.1819,0.7244,11.6492,4.60687780930092
Moldova,MDA,2023,8.2074,3.33935095165033,2.1904,0.7864,11.6506,4.74028830047242
Moldova,MDA,2024,8.2081,3.41675873098598,2.1983,0.7749,11.6583,4.85296211223716
Netherlands,NLD,2017,168.176,9.81688717537774,20.3149,5.7838,198.731,11.6004650202763
Netherlands,NLD,2018,163.095,9.46486529650368,19.1385,5.5022,191.8839,11.1355667927759
Netherlands,NLD,2019,157.9744,9.10784361996519,19.0272,5.5884,186.7,10.7639871007423
Netherlands,NLD,2020,142.1604,8.15069804775965,18.4767,5.6035,170.3436,9.76656824241034
Netherlands,NLD,2021,145.8948,8.32113351224123,18.1256,5.4314,173.5896,9.90071090906975
Netherlands,NLD,2022,133.114,7.52014775225465,17.7599,5.4194,160.2836,9.05506824423639
Netherlands,NLD,2023,122.9178,6.87570596534106,17.2871,5.3591,149.4884,8.36199707145173
Netherlands,NLD,2024,118.7909,6.60188395966651,17.0518,5.3288,145.0067,8.05884463182091
North Macedonia,MKD,2017,7.9803,4.20312884317705,1.676,0.3079,10.7022,5.63672111392421
North Macedonia,MKD,2018,7.5427,3.99285143704431,1.6501,0.2963,10.2414,5.42145235888285
North Macedonia,MKD,2019,8.6778,4.62504703500897,1.5844,0.2789,11.3372,6.04243970191796
North Macedonia,MKD,2020,7.5804,4.08399438830595,1.5783,0.3075,10.2885,5.54300251491818
North Macedonia,MKD,2021,7.634,4.15543074626833,1.481,0.2528,10.2244,5.56546844670499
North Macedonia,MKD,2022,8.2042,4.47897922817561,1.4795,0.2402,10.8159,5.90480381195297
North Macedonia,MKD,2023,8.0203,4.38791431960329,1.4016,0.2223,10.5691,5.78236540220679
North Macedonia,MKD,2024,7.2973,3.99992545326879,1.3488,0.208,9.8121,5.37838221534248
Norway,NOR,2017,47.4084,8.98402264330578,9.182,2.2956,61.9913,11.7475224409168
Norway,NOR,2018,46.6404,8.78033462878555,9.0543,2.291,61.1188,11.5059801397462
Norway,NOR,2019,45.3466,8.47933467666537,8.7824,2.2962,59.5497,11.1351641841951
Norway,NOR,2020,43.7079,8.12493784244745,8.8206,2.3008,57.8321,10.7505100404779
Norway,NOR,2021,44.4278,8.21471362641264,8.9657,2.2792,58.7091,10.8553303058991
Norway,NOR,2022,43.5471,7.9798582660803,8.9401,2.2747,57.6515,10.5644416924876
Norway,NOR,2023,41.6042,7.53753758650308,8.8755,2.2389,55.467,10.049095940087
Norway,NOR,2024,39.9995,7.17830173255862,8.8218,2.234,53.7596,9.64768634162073
Poland,POL,2017,330.2221,8.69581601242887,49.0445,16.9885,412.81,10.8706225540046
Poland,POL,2018,329.6329,8.68031784277711,49.4452,15.9369,411.6684,10.8405822289811
Poland,POL,2019,312.0707,8.21985501300853,48.2804,16.2438,392.6558,10.3424440231552
Poland,POL,2020,296.8799,7.91347409626485,46.606,16.5906,375.6244,10.012445973355
Poland,POL,2021,324.0123,8.76145594619199,47.081,15.7756,403.1414,10.9011467039559
Poland,POL,2022,307.9616,8.36357881859441,45.8207,15.4544,384.9357,10.4540308500827
Poland,POL,2023,280.6501,7.64977784033642,43.9064,15.2333,354.3109,9.65757600446126
Poland,POL,2024,276.0619,7.55108565871718,43.1028,14.9591,348.195,9.52413306920307
Portugal,PRT,2017,55.1436,5.35359164296186,11.2645,2.1265,72.8197,7.06966787375125
Portugal,PRT,2018,51.1078,4.96972818082616,11.2953,2.1374,68.8776,6.69766551774233
Portugal,PRT,2019,46.4279,4.51358282400518,11.4849,2.2085,64.5604,6.27637072861155
Portugal,PRT,2020,40.6444,3.94717687468905,11.4945,2.2179,58.6825,5.69894516708182
Portugal,PRT,2021,38.962,3.76014625214405,11.5434,2.0882,56.9598,5.49707865337699
Portugal,PRT,2022,39.6684,3.8017191709062,11.338,1.9003,57.3189,5.49329846893888
Portugal,PRT,2023,37.4114,3.53665954067309,11.3144,1.8364,54.9777,5.19727695914248
Portugal,PRT,2024,35.5573,3.32476489948602,11.3983,1.8132,53.1696,4.97159288809082
Romania,ROU,2017,81.7983,4.17578692629915,19.7481,7.6184,115.2104,5.88146797786379
Romania,ROU,2018,83.0019,4.26219717910626,19.4402,7.5911,116.06,5.95975037447423
Romania,ROU,2019,81.1522,4.18922540818417,19.3522,7.3288,113.9659,5.88312878697775
Romania,ROU,2020,75.7011,3.92941176470588,18.9253,7.3547,108.1538,5.6139318202463
Romania,ROU,2021,80.7465,4.22268857135102,18.8039,7.5845,113.4783,5.93441846403675
Romania,ROU,2022,75.6755,3.97277959180202,18.5685,6.8774,107.3061,5.63330911795584
Romania,ROU,2023,70.2532,3.68569180458046,18.2615,6.9096,101.2864,5.31378576912451
Romania,ROU,2024,70.8832,3.72055055783694,18.2273,6.756,101.8576,5.34634935358352
Slovak Republic,SVK,2017,37.7288,6.93642043582623,5.5091,1.1427,47.0651,8.65289437920648
Slovak Republic,SVK,2018,37.2427,6.83757404157436,5.4262,1.3273,46.6697,8.56832424201421
Slovak Republic,SVK,2019,34.8074,6.3818228588265,5.3397,1.2385,44.0185,8.070647894162
Slovak Republic,SVK,2020,32.6439,5.98002098252976,5.4223,1.3131,41.9962,7.69326450535985
Slovak Republic,SVK,2021,36.6483,6.72785720933896,5.6286,1.3503,46.3719,8.51290569346314
Slovak Republic,SVK,2022,33.1887,6.11012800289851,5.3507,1.2244,42.5243,7.82883680992799
Slovak Republic,SVK,2023,31.1483,5.73978115774848,5.1216,1.285,40.3077,7.42760847212138
Slovak Republic,SVK,2024,29.8925,5.51311685631444,5.0616,1.2863,39.0008,7.19297375227058
Slovenia,SVN,2017,15.3443,7.42566255708028,3.517,0.4381,20.0988,9.7265373201935
Slovenia,SVN,2018,15.45,7.44975394113682,3.3955,0.4184,20.0332,9.65970295492441
Slovenia,SVN,2019,14.8261,7.0993135844205,3.3721,0.4221,19.3546,9.2677355947299
Slovenia,SVN,2020,13.5406,6.44048593548669,3.3452,0.4353,18.0238,8.57288675568476
Slovenia,SVN,2021,13.8601,6.57475360268757,3.1735,0.4593,18.1905,8.62894606890918
Slovenia,SVN,2022,13.3893,6.3394025593776,2.992,0.4389,17.4982,8.28483444724527
Slovenia,SVN,2023,12.6186,5.95087577654104,2.9749,0.4325,16.6771,7.86484637067128
Slovenia,SVN,2024,13.3314,6.26652251574692,2.9424,0.427,17.3369,8.14933721914073
Spain,ESP,2017,278.3849,5.97761510797052,43.4265,15.1298,350.3164,7.52216303833233
Spain,ESP,2018,271.7891,5.80969253331158,43.8153,15.3281,342.6507,7.32441151364784
Spain,ESP,2019,254.3514,5.3981216422823,43.5605,15.0218,324.2336,6.88123758436203
Spain,ESP,2020,214.4546,4.52823497177668,43.8319,15.3492,283.7113,5.99059861876698
Spain,ESP,2021,233.1927,4.91513320564969,44.5964,14.443,302.6753,6.3796568998943
Spain,ESP,2022,238.6544,4.99422196018416,43.8966,13.8296,306.6168,6.41644300679725
Spain,ESP,2023,220.9934,4.57046216901007,43.1031,13.0749,286.8651,5.9327839073895
Spain,ESP,2024,220.0839,4.50540688376633,42.8089,13.3472,285.6383,5.84739166784718
Sweden,SWE,2017,41.8362,4.15961982553065,8.2362,4.1619,57.3362,5.70072793993218
Sweden,SWE,2018,39.6483,3.89655686848453,8.087,4.0764,54.8468,5.39023552723314
Sweden,SWE,2019,39.4951,3.8423518032643,8.1872,4.284,54.9209,5.34307848699961
Sweden,SWE,2020,38.0388,3.67402454179006,8.4105,4.3309,53.7054,5.18720247817103
Sweden,SWE,2021,40.4785,3.88625523254982,8.269,4.1547,55.8177,5.35893940471846
Sweden,SWE,2022,37.7526,3.59996303974629,8.1512,4.1551,52.8307,5.0377607731368
Sweden,SWE,2023,36.6683,3.4800778844701,8.0508,4.0551,51.4013,4.87834252918769
Sweden,SWE,2024,37.7742,3.57381645984766,8.123,4.0853,52.5658,4.97324950005719
Switzerland,CHE,2017,39.8183,4.71119898152355,5.5928,1.3951,49.0425,5.80258263289414
Switzerland,CHE,2018,38.5179,4.52389143055195,5.632,1.3955,47.7525,5.60848658772758
Switzerland,CHE,2019,38.3954,4.47745146514166,5.6208,1.3902,47.5554,5.54563815992014
Switzerland,CHE,2020,35.9401,4.16061648264036,5.6614,1.483,45.1725,5.2294080445539
Switzerland,CHE,2021,37.6301,4.32303993798183,5.7826,1.4773,46.9199,5.39027538024384
Switzerland,CHE,2022,34.4805,3.92846693573085,5.8225,1.4398,43.6858,4.97725441513176
Switzerland,CHE,2023,33.6661,3.78746475067225,5.8641,1.4483,42.8749,4.82346254655566
Switzerland,CHE,2024,33.7321,3.74568795220564,5.9415,1.4687,42.9924,4.77397240955665
Ukraine,UKR,2017,205.5813,4.52463056805499,65.0874,20.1225,297.8249,6.5548162525868
Ukraine,UKR,2018,218.3029,4.82875863377984,66.5654,18.9902,311.1926,6.88343560263468
Ukraine,UKR,2019,207.9097,4.62458753784522,65.8958,20.0802,301.6375,6.70939847177303
Ukraine,UKR,2020,198.8972,4.45159215930416,66.9642,20.0568,292.7273,6.55163850217236
