Country Name,Country Code,Series Name,Series Code,2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Albania,ALB,Methane (CH4) emissions from Transport (Energy) (Mt CO2e),EN.GHG.CH4.TR.MT.CE.AR5,0.0051,0.0055,0.0055,0.004,0.0042,0.0043,0.0042,0.0041
Albania,ALB,Methane (CH4) emissions from Waste (Mt CO2e),EN.GHG.CH4.WA.MT.CE.AR5,0.4683,0.4775,0.4953,0.5113,0.5286,0.5151,0.5188,0.5229
Albania,ALB,Nitrous oxide (N2O) emissions from Transport (Energy) (Mt CO2e),EN.GHG.N2O.TR.MT.CE.AR5,0.0134,0.0131,0.0132,0.0097,0.0106,0.0104,0.0099,0.0099
Albania,ALB,Nitrous oxide (N2O) emissions from Waste (Mt CO2e),EN.GHG.N2O.WA.MT.CE.AR5,0.1222,0.1237,0.1266,0.1279,0.1292,0.1073,0.1043,0.1015
Albania,ALB,Nitrous oxide (N2O) emissions from Power Industry (Energy) (Mt CO2e),EN.GHG.N2O.PI.MT.CE.AR5,0,0,0,0,0,0,0,0
Albania,ALB,Nitrous oxide (N2O) emissions from Industrial Processes (Mt CO2e),EN.GHG.N2O.IP.MT.CE.AR5,0.0453,0.048,0.0439,0.0382,0.0438,0.0405,0.0388,0.0388
Albania,ALB,Nitrous oxide (N2O) emissions from Industrial Combustion (Energy) (Mt CO2e),EN.GHG.N2O.IC.MT.CE.AR5,0.0033,0.0048,0.003,0.0034,0.0046,0.0035,0.0033,0.0032
Albania,ALB,Nitrous oxide (N2O) emissions from Fugitive Emissions (Energy) (Mt CO2e),EN.GHG.N2O.FE.MT.CE.AR5,0.0005,0.0003,0.0003,0.0003,0.0002,0.0002,0.0002,0.0002
Albania,ALB,Nitrous oxide (N2O) emissions from Building (Energy) (Mt CO2e),EN.GHG.N2O.BU.MT.CE.AR5,0.0236,0.0233,0.0233,0.0218,0.021,0.0195,0.0188,0.019
Albania,ALB,Nitrous oxide (N2O) emissions from Agriculture (Mt CO2e),EN.GHG.N2O.AG.MT.CE.AR5,0.7586,0.7371,0.7606,0.6855,0.6575,0.6178,0.5841,0.5545
Albania,ALB,Total greenhouse gas emissions including LULUCF (Mt CO2e),EN.GHG.ALL.LU.MT.CE.AR5,10.5403,10.5367,10.0118,9.3428,9.8419,9.0432,8.6068,..
Albania,ALB,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.ALL.PC.CE.AR5,3.47194505123127,3.52455561976629,3.37495000586105,3.16284882617225,3.41249484890524,3.13978094627424,3.00783523432176,2.99701993329766
Albania,ALB,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),EN.GHG.ALL.MT.CE.AR5,9.1947,9.1911,8.6662,7.9972,8.4963,7.6976,7.2612,7.1243
Albania,ALB,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,18.5552438171978,19.0461862321065,15.70470712234,15.7070036417042,..,..,..,..
Albania,ALB,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",EN.ATM.PM25.MC.ZS,99.9999999999643,..,..,..,..,..,..,..
Albania,ALB,"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-1 value (% of total)",EN.ATM.PM25.MC.T1.ZS,0,..,..,..,..,..,..,..
Albania,ALB,"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-2 value (% of total)",EN.ATM.PM25.MC.T2.ZS,3.09734610810042,..,..,..,..,..,..,..
Albania,ALB,"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-3 value (% of total)",EN.ATM.PM25.MC.T3.ZS,84.6133660520254,..,..,..,..,..,..,..
Albania,ALB,Adjusted savings: energy depletion (% of GNI),NY.ADJ.DNGY.GN.ZS,0.7089990468508,0.904367761075784,0.918745098838545,0.348288636459883,0.597381359156188,..,..,..
Albania,ALB,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,16.98,31.74,19.8,21.75,34.43,28.45,36.81,..
Albania,ALB,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,894.466399568989,904.739774695665,908.317252679183,855.185594249541,914.732925521475,884.57221529163,888.463855695385,..
Albania,ALB,Energy intensity level of primary energy (MJ/$2021 PPP GDP),EG.EGY.PRIM.PP.KD,2.64,2.53,2.45,2.34,2.27,2.06,..,..
Albania,ALB,Firms adopting energy management measures to reduce emissions (% of firms),IC.FRM.ENGM.ZS,..,..,..,..,..,..,..,..
Albania,ALB,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,0,0,0,0,0,0,0,..
Albania,ALB,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,36.9,37.8,40.1,44.4,41.9,..,..,..
Albania,ALB,"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD,3043214465.69555,3653185141.24662,3579202093.98867,3576974730.78693,4045322008.30757,4378731054.98347,5440739067.01774,6058698513.84376
Albania,ALB,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100,100,100,100,100,100,100,..
Albania,ALB,"Completeness of birth registration, urban (%)",SP.REG.BRTH.UR.ZS,..,98.5,..,..,..,..,..,..
Albania,ALB,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,31.4769409052308,32.3486119216794,33.248444000483,34.1717683131517,35.1119042048324,36.0602499747995,37.0080533197083,37.9477366887927
Albania,ALB,Population in urban agglomerations of more than 1 million,EN.URB.MCTY,..,..,..,..,..,..,..,..
Albania,ALB,Urban land area (sq. km),AG.LND.TOTL.UR.K2,..,..,..,..,..,..,..,..
Albania,ALB,Urban population,SP.URB.TOTL,1482517,1470162,1457584,1444795,1431805,1418623,1405259,1391722
Albania,ALB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,55.980276426546,56.377000259892,56.7639071287255,57.1408592155544,57.5077187031778,57.8643477747383,58.2106086137857,58.5463634043555
Albania,ALB,Urban population growth (annual %),SP.URB.GROW,-0.814539434305938,-0.836872014010015,-0.859232828535257,-0.881282752690579,-0.903155690630907,-0.924920325935713,-0.946505538844141,-0.967979811056382
Albania,ALB,Forest area (% of land area),AG.LND.FRST.ZS,28.7920620437956,28.7919708029197,28.7919708029197,28.7919708029197,28.7919708029197,28.7919708029197,28.7919708029197,..
Albania,ALB,Forest rents (% of GDP),NY.GDP.FRST.RT.ZS,0.183422579574961,0.140052548330499,0.138045383470044,0.134209573343306,0.138488454188665,..,..,..
Albania,ALB,Land area (sq. km),AG.LND.TOTL.K2,27400,27400,27400,27400,27400,27400,27400,..
Albania,ALB,Forest area (sq. km),AG.LND.FRST.K2,7889.025,7889,7889,7889,7889,7889,7889,..
Albania,ALB,Population density (people per sq. km of land area),EN.POP.DNST,96.6527372262774,95.1727372262774,93.7153649635036,92.2802919708029,90.8672262773723,89.4757664233577,88.1056569343066,..
Albania,ALB,Rural land area (sq. km),AG.LND.TOTL.RU.K2,..,..,..,..,..,..,..,..
Albania,ALB,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,13.5,13.5,14.2,14.2,14.2,14.2,14.2,18
Albania,ALB,Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,17.7,17.7,18.6,18.6,18.6,18.6,18.6,23.6
Albania,ALB,Agricultural land (% of land area),AG.LND.AGRI.ZS,42.8569708029197,42.8496715328467,42.8467153284672,42.538503649635,41.471897810219,41.4452554744526,38.1240875912409,..
Albania,ALB,Agricultural land (sq. km),AG.LND.AGRI.K2,11742.81,11740.81,11740,11655.55,11363.3,11356,10446,..
Albania,ALB,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.9,100,100,100,100,100,100,..
Albania,ALB,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,99.7,100,100,100,100,100,100,..
Albania,ALB,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,2327.54405209409,2502.55681850864,2553.9362279242,2642.69442510916,2834.40746545252,2840.96007727085,2888.86725667383,..
Albania,ALB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.28317593330073,3.67141928098908,2.06257790176122,-3.31375636888916,8.96957619074095,4.8268006234359,4.01541716935742,4.04592845095348
Albania,ALB,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,4700,5400,5900,5970,6940,7720,8730,9910
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,5006.36012951959,5897.65452588774,6069.43903131027,6027.91350716348,7242.45513146613,7756.96188744253,9730.86921906893,11377.7757431099
Albania,ALB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,4.88935288088643,5.28357949627288,3.64975808463876,-1.81016536329729,10.6641494274411,6.45698822084806,5.63293544264612,5.66395904797913
Andorra,AND,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),EN.GHG.CO2.ZG.AR5,..,..,..,..,..,..,..,..
Andorra,AND,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,..,..,..,..,..,..,..,..
Andorra,AND,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,..,..,..,..,..,..,..,..
Andorra,AND,Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,..,..,..,..,..,..,..,..
Andorra,AND,Carbon dioxide (CO2) emissions from Building (Energy) (Mt CO2e),EN.GHG.CO2.BU.MT.CE.AR5,..,..,..,..,..,..,..,..
Andorra,AND,Carbon dioxide (CO2) emissions from Fugitive Emissions (Energy) (Mt CO2e),EN.GHG.CO2.FE.MT.CE.AR5,..,..,..,..,..,..,..,..
Andorra,AND,Carbon dioxide (CO2) emissions from Industrial Combustion (Energy) (Mt CO2e),EN.GHG.CO2.IC.MT.CE.AR5,..,..,..,..,..,..,..,..
Andorra,AND,Carbon dioxide (CO2) emissions from Industrial Processes (Mt CO2e),EN.GHG.CO2.IP.MT.CE.AR5,..,..,..,..,..,..,..,..
Andorra,AND,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),EN.GHG.CO2.PI.MT.CE.AR5,..,..,..,..,..,..,..,..
Andorra,AND,Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e),EN.GHG.CO2.TR.MT.CE.AR5,..,..,..,..,..,..,..,..
Andorra,AND,Carbon dioxide (CO2) emissions from Waste (Mt CO2e),EN.GHG.CO2.WA.MT.CE.AR5,..,..,..,..,..,..,..,..
Andorra,AND,Carbon dioxide (CO2) net fluxes from LULUCF - Deforestation (Mt CO2e),EN.GHG.CO2.LU.DF.MT.CE.AR5,0,0,0,0,0,0,0,..
Andorra,AND,Carbon dioxide (CO2) net fluxes from LULUCF - Forest Land (Mt CO2e),EN.GHG.CO2.LU.FL.MT.CE.AR5,0.1356,0.1366,0.1358,0.1358,0.1358,0.1358,0.1358,..
Andorra,AND,Carbon dioxide (CO2) net fluxes from LULUCF - Organic Soil (Mt CO2e),EN.GHG.CO2.LU.OS.MT.CE.AR5,0,0,0,0,..,..,..,..
Andorra,AND,Carbon dioxide (CO2) net fluxes from LULUCF - Other Land (Mt CO2e),EN.GHG.CO2.LU.OL.MT.CE.AR5,0,0,0,0,..,..,..,..
Andorra,AND,Carbon dioxide (CO2) net fluxes from LULUCF - Total excluding non-tropical fires (Mt CO2e),EN.GHG.CO2.LU.MT.CE.AR5,0.1356,0.1366,0.1358,0.1358,0.1358,0.1358,0.1358,..
Andorra,AND,F-gases emissions from Industrial Processes (Mt CO2e),EN.GHG.FGAS.IP.MT.CE.AR5,..,..,..,..,..,..,..,..
Andorra,AND,Methane (CH4) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CH4.MT.CE.AR5,..,..,..,..,..,..,..,..
Andorra,AND,Methane (CH4) emissions from Agriculture (Mt CO2e),EN.GHG.CH4.AG.MT.CE.AR5,..,..,..,..,..,..,..,..
Andorra,AND,Methane (CH4) emissions from Building (Energy) (Mt CO2e),EN.GHG.CH4.BU.MT.CE.AR5,..,..,..,..,..,..,..,..
Andorra,AND,Methane (CH4) emissions from Fugitive Emissions (Energy) (Mt CO2e),EN.GHG.CH4.FE.MT.CE.AR5,..,..,..,..,..,..,..,..
Andorra,AND,Methane (CH4) emissions from Industrial Combustion (Energy) (Mt CO2e),EN.GHG.CH4.IC.MT.CE.AR5,..,..,..,..,..,..,..,..
Andorra,AND,Methane (CH4) emissions from Industrial Processes (Mt CO2e),EN.GHG.CH4.IP.MT.CE.AR5,..,..,..,..,..,..,..,..
Andorra,AND,Methane (CH4) emissions from Power Industry (Energy) (Mt CO2e),EN.GHG.CH4.PI.MT.CE.AR5,..,..,..,..,..,..,..,..
Andorra,AND,Methane (CH4) emissions from Transport (Energy) (Mt CO2e),EN.GHG.CH4.TR.MT.CE.AR5,..,..,..,..,..,..,..,..
Andorra,AND,Methane (CH4) emissions from Waste (Mt CO2e),EN.GHG.CH4.WA.MT.CE.AR5,..,..,..,..,..,..,..,..
Andorra,AND,Nitrous oxide (N2O) emissions from Transport (Energy) (Mt CO2e),EN.GHG.N2O.TR.MT.CE.AR5,..,..,..,..,..,..,..,..
Andorra,AND,Nitrous oxide (N2O) emissions from Waste (Mt CO2e),EN.GHG.N2O.WA.MT.CE.AR5,..,..,..,..,..,..,..,..
Andorra,AND,Nitrous oxide (N2O) emissions from Power Industry (Energy) (Mt CO2e),EN.GHG.N2O.PI.MT.CE.AR5,..,..,..,..,..,..,..,..
Andorra,AND,Nitrous oxide (N2O) emissions from Industrial Processes (Mt CO2e),EN.GHG.N2O.IP.MT.CE.AR5,..,..,..,..,..,..,..,..
Andorra,AND,Nitrous oxide (N2O) emissions from Industrial Combustion (Energy) (Mt CO2e),EN.GHG.N2O.IC.MT.CE.AR5,..,..,..,..,..,..,..,..
Andorra,AND,Nitrous oxide (N2O) emissions from Fugitive Emissions (Energy) (Mt CO2e),EN.GHG.N2O.FE.MT.CE.AR5,..,..,..,..,..,..,..,..
Andorra,AND,Nitrous oxide (N2O) emissions from Building (Energy) (Mt CO2e),EN.GHG.N2O.BU.MT.CE.AR5,..,..,..,..,..,..,..,..
Andorra,AND,Nitrous oxide (N2O) emissions from Agriculture (Mt CO2e),EN.GHG.N2O.AG.MT.CE.AR5,..,..,..,..,..,..,..,..
Andorra,AND,Total greenhouse gas emissions including LULUCF (Mt CO2e),EN.GHG.ALL.LU.MT.CE.AR5,..,..,..,..,..,..,..,..
Andorra,AND,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.ALL.PC.CE.AR5,..,..,..,..,..,..,..,..
Andorra,AND,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),EN.GHG.ALL.MT.CE.AR5,..,..,..,..,..,..,..,..
Andorra,AND,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,10.0219190390452,9.89580638748632,9.01087465277866,9.08028059086901,..,..,..,..
Andorra,AND,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",EN.ATM.PM25.MC.ZS,17.8244594869492,..,..,..,..,..,..,..
Andorra,AND,"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-1 value (% of total)",EN.ATM.PM25.MC.T1.ZS,0,..,..,..,..,..,..,..
Andorra,AND,"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-2 value (% of total)",EN.ATM.PM25.MC.T2.ZS,0,..,..,..,..,..,..,..
Andorra,AND,"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-3 value (% of total)",EN.ATM.PM25.MC.T3.ZS,0,..,..,..,..,..,..,..
Andorra,AND,Adjusted savings: energy depletion (% of GNI),NY.ADJ.DNGY.GN.ZS,..,..,..,..,..,..,..,..
Andorra,AND,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,..,..,..,..,..,..,..,..
Andorra,AND,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,..,..,..,..,..,..,..,..
Andorra,AND,Energy intensity level of primary energy (MJ/$2021 PPP GDP),EG.EGY.PRIM.PP.KD,2.12,2.19,2.11,1.92,1.89,1.81,..,..
Andorra,AND,Firms adopting energy management measures to reduce emissions (% of firms),IC.FRM.ENGM.ZS,..,..,..,..,..,..,..,..
Andorra,AND,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,..,..,..,..,..,..,..,..
Andorra,AND,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,18,17.6,17.2,20.9,18.4,18.7,..,..
Andorra,AND,"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD,311882205.949802,356482788.185263,369146825.841061,366005487.112595,411014152.672875,376780704.784209,470416504.47645,515202026.215242
Andorra,AND,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100,100,100,100,100,100,100,..
Andorra,AND,"Completeness of birth registration, urban (%)",SP.REG.BRTH.UR.ZS,..,..,..,..,..,..,..,..
Andorra,AND,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,..,..,..,..,..,..,..,..
Andorra,AND,Population in urban agglomerations of more than 1 million,EN.URB.MCTY,..,..,..,..,..,..,..,..
Andorra,AND,Urban land area (sq. km),AG.LND.TOTL.UR.K2,..,..,..,..,..,..,..,..
Andorra,AND,Urban population,SP.URB.TOTL,65279,66524,67709,68552,69480,70742,71816,72831
Andorra,AND,Urban population (% of total population),SP.URB.TOTL.IN.ZS,88.4977035522461,88.5080998493791,88.5391793666245,88.5907780427517,88.6627318165299,88.7548766267286,88.8201609217082,88.8850044816278
Andorra,AND,Urban population growth (annual %),SP.URB.GROW,2.16327603505452,1.88923928968242,1.76563257133718,1.23734708455524,1.34463600060865,1.8000514552126,1.50678365293572,1.40343962866922
Andorra,AND,Forest area (% of land area),AG.LND.FRST.ZS,34.0425531914894,34.0425531914894,34.0425531914894,34.0425531914894,34.0425531914894,34.0425531914894,34.0425531914894,..
Andorra,AND,Forest rents (% of GDP),NY.GDP.FRST.RT.ZS,0,0,0,0,0,..,..,..
Andorra,AND,Land area (sq. km),AG.LND.TOTL.K2,470,470,470,470,470,470,470,..
Andorra,AND,Forest area (sq. km),AG.LND.FRST.K2,160,160,160,160,160,160,160,..
Andorra,AND,Population density (people per sq. km of land area),EN.POP.DNST,156.942553191489,159.91914893617,162.710638297872,164.63829787234,166.731914893617,169.585106382979,172.034042553191,..
Andorra,AND,Rural land area (sq. km),AG.LND.TOTL.RU.K2,..,..,..,..,..,..,..,..
Andorra,AND,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,26.7,26.7,26.7,26.7,26.9,26.9,26.9,27.3
Andorra,AND,Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,26.7,26.7,26.7,26.7,26.9,26.9,26.9,27.3
Andorra,AND,Agricultural land (% of land area),AG.LND.AGRI.ZS,40.0425531914894,40.0723404255319,40.0002127659574,39.9517021276596,39.9068085106383,39.9068085106383,39.8740425531915,..
Andorra,AND,Agricultural land (sq. km),AG.LND.AGRI.K2,188.2,188.34,188.001,187.773,187.562,187.562,187.408,..
Andorra,AND,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,100,100,100,..
Andorra,AND,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100,100,100,100,100,100,100,..
Andorra,AND,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,..,..,..,..,..,..,..,..
Andorra,AND,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0.346071889630295,1.58876549046354,2.01554763848308,-11.1839399355384,8.28677879049404,9.56461225648184,2.58355480961319,3.37182032638998
Andorra,AND,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,..,..,46450,42450,44720,47600,47920,47570
Andorra,AND,GDP per capita (current US$),NY.GDP.PCAP.CD,40672.9717424447,42819.7577456133,41257.816459345,37361.1070081615,42425.7066454357,42414.0479861228,46812.4261013102,49303.6491674336
Andorra,AND,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-1.80605703312767,-0.30211930399588,0.265352820614368,-12.2238384935431,6.92704485233561,7.72123800096536,1.1232590791063,2.00678445056737
Armenia,ARM,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),EN.GHG.CO2.ZG.AR5,-72.6218834365571,-71.3591368665213,-69.0824394492808,-66.7253766824991,-64.0839071996766,-62.5882454848629,-63.9140331374729,-63.9385758490094
Armenia,ARM,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,5.6892,5.9516,6.4247,6.9145,7.4634,7.7742,7.4987,7.4936
Armenia,ARM,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,1.90951198227831,2.00458066689121,2.16867510548523,2.33479655579943,2.51946122945009,2.61828101845615,2.52966973653139,2.47028185264546
Armenia,ARM,Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,0.0525,0.0511,0.061,0.0558,0.0446,0.0418,0.042,0.0422
Armenia,ARM,Carbon dioxide (CO2) emissions from Building (Energy) (Mt CO2e),EN.GHG.CO2.BU.MT.CE.AR5,1.7859,1.6268,1.999,2.1889,2.3309,2.4102,2.2863,2.2956
Armenia,ARM,Carbon dioxide (CO2) emissions from Fugitive Emissions (Energy) (Mt CO2e),EN.GHG.CO2.FE.MT.CE.AR5,0.3057,0.2524,0.2331,0.2018,0.2264,0.2443,0.2313,0.2198
Armenia,ARM,Carbon dioxide (CO2) emissions from Industrial Combustion (Energy) (Mt CO2e),EN.GHG.CO2.IC.MT.CE.AR5,0.4512,0.4738,0.435,0.4479,0.5242,0.6253,0.5949,0.5956
Armenia,ARM,Carbon dioxide (CO2) emissions from Industrial Processes (Mt CO2e),EN.GHG.CO2.IP.MT.CE.AR5,0.1813,0.2624,0.2844,0.3352,0.345,0.4567,0.4574,0.4629
Armenia,ARM,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),EN.GHG.CO2.PI.MT.CE.AR5,1.2389,1.4839,1.3534,1.4239,1.6261,1.6678,1.5756,1.5793
Armenia,ARM,Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e),EN.GHG.CO2.TR.MT.CE.AR5,1.6736,1.8011,2.0588,2.261,2.3661,2.3281,2.3112,2.2982
Armenia,ARM,Carbon dioxide (CO2) emissions from Waste (Mt CO2e),EN.GHG.CO2.WA.MT.CE.AR5,..,..,..,..,..,..,..,..
